qid,K,CQ_Cneg,CQ_Cpos,Q
In what country is American Booksellers Association?,1,6.909491833873783,10.574867080162594,9.391956701886345
"In what country is Amesbury, Toronto?",1,7.448326923636836,7.2530262080413985,6.652464597553986
In what country is Asiana Airlines?,1,13.035351477463191,13.895043796103678,9.260946512226628
In what country is BBC?,1,11.962848112235188,13.447633700704442,9.921451541413775
In what country is Bouvet Island?,1,2.9145368551531803,6.890748909724881,15.590616194970181
In what country is British American Tobacco?,1,8.320562651616227,8.620832158147188,7.345428666007271
In what country is Buckskin Mountain State Park?,1,6.0370886234219086,5.7975220707864725,8.628582142224571
In what country is Bundesautobahn 100?,1,8.91596116203412,8.39983865105799,6.970847632081384
In what country is Cambridge?,1,10.614810885677576,10.612216918754571,0.22967398982773224
In what country is Canadian Dairy Commission?,1,4.7730248440184235,6.126050331025522,7.365312950642662
In what country is Chrysler?,1,6.347808420244085,8.175783831316181,5.117843109364068
In what country is Davidson?,0,5.775513166074216,5.247978838979167,-2.3088911374160723
In what country is Deodara?,1,6.477066879167279,6.152913974369606,4.628443808206014
In what country is Dragomirna River?,1,6.782330135941004,7.277587079843199,11.962672646998387
In what country is Ferrari?,1,8.068053113610777,8.48653934613369,13.558307653781402
In what country is Gmina Dziadkowice?,1,3.88630160119968,3.5045829359575293,9.690375887225008
In what country is Hawi?,1,-1.6187068381151888,3.5077702539877853,1.1469288742142576
In what country is Husainid Dynasty?,1,2.080023474638481,3.0197627705830423,10.400532451702144
In what country is Ig?,0,6.216782921085366,6.047693069801606,5.783350954351483
In what country is Joint European Torus?,1,6.231159333219416,6.127172655402625,5.192749943953664
In what country is KV Svalbard?,1,7.76921434030072,7.832692108741642,8.16625965932867
In what country is Kanjiroba Himal?,1,6.590701815432466,7.452280973899931,9.898032649665637
In what country is Katmai National Park and Preserve?,1,9.916703104609919,10.489857423191568,11.96155512837051
In what country is Kireyevsky District?,1,8.636073660663808,9.120480222631556,3.4782741961942367
In what country is Kuujjuarapik?,1,13.509580085711018,11.112808483334781,10.032483864941268
In what country is Lugano Airport?,1,7.297013749749965,8.29825098136605,12.220863036052572
In what country is Lutsk?,1,-0.293183326888085,1.9088386140233424,8.263683555590255
In what country is Macedonian Academy of Sciences and Arts?,1,6.975042422855871,7.6513923889126225,12.5173366624714
In what country is Marvejols?,1,7.405870318496877,6.395630640917918,10.560868155131729
In what country is Mon?,0,10.43902959349937,10.567865682708899,4.625084945154287
In what country is Monti della Tolfa?,1,7.2661204912174115,6.648132091848801,10.393025828307374
In what country is New York State Route 157?,1,5.747290285515775,3.547791105675546,6.502282111428925
In what country is Old Persian?,1,7.403174718307523,7.481086494890932,10.189718358293774
In what country is Pindus?,1,9.269099685193666,9.58372976606128,8.889211844771275
In what country is Post Carbon Institute?,1,7.389787077345998,7.163881794534335,5.009676792274636
In what country is Revigliasco d'Asti?,1,11.952229927290922,11.713551602541447,12.894367367614885
In what country is Rockcastle River?,1,4.657290996030152,6.545251378338753,8.688812379595658
In what country is Sabana de la Mar?,1,7.873052289812315,7.0013754159365496,10.17175794345648
In what country is Severna Park?,1,4.658330518003373,5.839767805812357,6.858003537001239
In what country is Sinaloa Cartel?,1,5.658670354904622,5.052984104484546,15.739991677012942
In what country is Sircilla?,1,6.560459744086339,6.748925857841961,12.902582125120624
In what country is Spumoni Gardens?,1,10.750372072126417,10.905968700832219,5.759045584711344
In what country is Tadami Line?,1,8.06494759640936,7.446608848804362,11.766461524309364
In what country is The Players Championship?,1,10.131286028107505,9.992116059097695,7.701461261715081
In what country is Tigra?,1,7.719381796807287,8.081521489799341,1.0709084260797386
In what country is Toronto Northwest?,1,2.5480738536417578,3.1455123353800474,-1.676781456874469
In what country is Varany Maha Vidyalayam?,1,10.112995373610708,9.264919126314641,0.3487093822049998
In what country is Velventos?,1,3.6386305340330534,2.538801036113979,8.468874434161949
In what country is Volvic?,1,8.143207006819978,6.381677449341966,7.78558870221211
In what country is Wiang Kao?,1,5.9905829673816005,2.4963335710011654,6.6184035307667335
In what country is Wynau?,1,4.573905041761672,3.49692400667274,9.978530815093848
What color is Exeter City F.C.?,1,7.21000054793125,7.601580611828615,5.491194660594348
What color is Juventus F.C.?,1,9.718976140843704,8.02124115867857,6.828454800490284
What color is chalk?,1,8.064955612725877,8.112413927205338,6.009480419594562
What color is fire engine?,1,6.785472580660083,6.242703107264405,3.1828832783314316
What color is snow?,1,4.726448262580185,9.305274946900829,11.256771220584554
What genre is Alexander Beggrov?,0,-3.069708182530899,-2.5973192657298867,-1.9936301706629194
What genre is Artur Lemba?,0,1.6015786823497693,0.541264294049701,0.28557958551741436
What genre is Banjo-Kazooie?,1,10.235543936574457,7.640546201524668,8.811126156981533
What genre is Big Business?,1,0.34793319959950963,-0.05642158421448151,-3.9897764337329518
What genre is Buono! 2?,1,-6.348197488301734,-4.86422740675655,-1.0791396251251129
What genre is Claude Lorrain?,1,3.5132288558361218,2.965010321552139,7.33524448963552
What genre is Coral Records?,1,5.470670587899113,5.243061547094285,-1.2377158513427418
What genre is Death of an Expert Witness?,1,0.47193826751266643,0.1446658205033935,0.9134031281525745
What genre is Doorways in the Sand?,1,-2.2937488378808966,-0.6925711014578986,-0.9562934466719488
What genre is Foreign Legion?,0,1.063305228777856,-1.168100169736467,1.9480239910680675
What genre is Frifot?,1,-1.6561145894786302,-2.6772809002073847,1.5939298295320858
What genre is General Hospital?,1,0.8757631805643864,3.9420430596247655,3.4248862952345744
What genre is Hands Across the Sea?,0,0.5903868061798072,1.506848397281183,-6.689530091146131
What genre is Joe Abercrombie?,1,5.513428300573338,7.596000863135712,10.55309970181169
What genre is Johann Sebastian Bach?,1,6.420409886163293,6.9923992706387015,3.3552591778422567
What genre is Kanoon?,1,-3.3842622979872123,-3.7503744134814454,-5.0634282101871095
What genre is Martin Garrix?,1,7.622424320296743,7.676126772897141,3.8176452356906276
What genre is Michel Langevin?,1,2.2991806096728133,3.2772748212360234,2.550868323433533
What genre is Ministry?,1,6.483418475922148,6.563328772103839,7.198094803700425
What genre is No Doubt?,0,11.745002851894238,13.577513463618999,13.939898810734775
What genre is Peggle 2?,1,0.3199709021224588,1.5658426103842138,0.9729209157523369
What genre is Prince Lasha?,1,1.2866526643462213,3.5950104314345572,4.648353365465404
What genre is Prince?,1,8.762709445349532,8.083959476889655,2.4477754441572874
What genre is Quenta Silmarillion?,1,9.354651399945906,11.083060159275444,10.540046579565882
What genre is Raavan?,0,-1.7864843876546965,-1.7234036686819247,4.747475171394761
What genre is Roper?,0,4.986634432523662,1.2997577495416315,-2.3311138723002474
What genre is S.H.E?,1,4.622287820527417,7.328397881325448,2.8239568889027056
What genre is Sabotage?,1,-0.6108389202906277,0.6199048960064424,4.920400544354699
What genre is Shaft?,1,3.4613025629578837,4.00573976203567,5.287404884369158
What genre is SimTower?,0,7.940073228758182,6.945897911547865,9.190518903191315
What genre is Southern Rock Opera?,1,7.080264476590747,6.806546748689719,3.241642023831842
What genre is Suikoden Tierkreis?,1,-0.6266502678391355,1.5440138913342012,0.1631544331806798
What genre is Super Mario World?,1,11.613464284781443,11.910793299789638,8.702543809835674
What genre is Synyster Gates?,1,2.6042614829138877,5.000704333300657,4.5711481882270535
What genre is The Art of the Steal?,0,3.6573493500252057,3.0364591853375753,-0.7466308782252098
What genre is The Buckaroos?,1,-2.4021506192331463,-3.063628706316017,1.0131781860278548
What genre is The Rolling Stones?,1,7.896253551921761,11.149476367769996,5.511864165443996
What genre is The Untold?,0,-2.3138878029763723,-3.5855841391224943,-4.792565187823702
What genre is Ultima Online: Samurai Empire?,1,6.172310067726218,8.117749658147119,3.087286005554377
What genre is Xenogears?,1,4.421728053527128,4.081990939726893,6.714577525261317
What is Algiers the capital of?,1,1.5453312558636314,6.86749438622518,6.182655637509839
What is Andy C's occupation?,1,5.941957331471606,7.959848079249617,8.27980466861445
What is Barcelona the capital of?,1,4.3840216757073645,4.1962545530663204,3.550983781872831
What is Benazir Bhutto's occupation?,1,6.163147641996899,6.903140130756352,4.597122326637555
What is Bill Kintner's occupation?,0,2.4877985892232264,2.428958101418786,-1.46158132205295
What is Budapest the capital of?,1,10.295052053767234,9.376000567214842,8.662849064875838
What is Cardiff the capital of?,1,1.4433571364637368,5.4956582152604545,2.6351570201219063
What is Dean Alfange's occupation?,1,-1.7934520260928166,-0.4135006006880926,-0.762648095730361
What is Delhi the capital of?,0,3.617081619662282,3.809563440099505,5.671460792296591
What is Dick Rude's occupation?,1,4.487522054935226,3.404419613083064,6.358507808047678
What is Firaq Gorakhpuri's occupation?,1,-0.14537656653668352,0.14720815216580463,8.775788805017518
What is G. Karunakara Reddy's occupation?,1,-5.08067827060648,-2.563408612730951,-3.4995570794105237
What is Gina Krog's occupation?,0,3.065624726522009,3.0944455613151796,1.4488370024909365
What is Jack Mackenzie's occupation?,0,-1.9700426142369145,-0.7420584991648336,-6.283835291979432
What is Jay the capital of?,0,-1.6569014229751189,-2.2990192907587557,-6.336933848675488
What is John Jay's occupation?,0,-3.2844242993787596,-2.370970551771981,3.4222244511478985
What is John Scurti's occupation?,1,0.9499160317631383,2.186086906678321,2.7553904730965924
What is Kanye West's occupation?,1,11.695407243896344,11.0689935164469,7.478290406528915
What is Lisa McRee's occupation?,1,-0.16193943657063437,0.7625073929100974,4.168836287211431
What is Manila the capital of?,1,8.929363433742482,9.639558144190715,3.452847229627687
What is Mariana Vicente's occupation?,0,1.6638685027949742,2.656593360248322,-4.153915516658534
What is Nigel Sheinwald's occupation?,1,-0.3583210667683048,-1.3054957933560059,0.24812978737071467
What is Paddy Mullins's occupation?,0,6.071722843852815,4.330387815446893,-4.7017636053774226
What is Perth the capital of?,1,3.455476289728538,1.985597178628521,-2.1902348622903545
What is Philadelphia the capital of?,0,0.9581866436840549,-1.5999877129380178,0.7075707265753619
What is Prague the capital of?,1,2.0606138728286,8.297104009892207,1.0437250739294552
What is Preston the capital of?,0,1.090798673580848,1.589108173384747,-8.69428337404402
What is Rhea Silvia's occupation?,1,-0.4475252768081659,0.7230914585167041,-1.7085389648839273
What is Robert Gwilym's occupation?,1,3.2401351277971484,4.851071498298037,-2.3882173078059745
What is Rodez the capital of?,1,-1.4102650099950849,-1.136033828566329,8.545042690192515
What is Sardar Muhammad Yousaf Zaman's occupation?,0,2.336756481318128,3.0914839022205234,2.4075978644098353
What is Seif Sharif Hamad's occupation?,1,1.765423700857409,2.3975888807683003,-1.9574604936404825
"What is Sir Thomas Clarges, 3rd Baronet's occupation?",0,-2.4986506656407657,-1.387544101511129,1.0506104164851828
What is Ski Beatz's occupation?,1,2.797063692508295,3.4633683845092698,10.359792830670003
What is Stari Ras the capital of?,1,0.2245607758632302,0.33395210417575916,7.888817334894538
What is Stevie Cameron's occupation?,1,2.029328586211159,2.896195876671425,10.006867345274111
What is Stockholm the capital of?,1,1.598570402804485,6.962529611872893,5.206051274975613
What is Thomas McMurtry's occupation?,0,3.233850610447253,3.2395607218230227,3.971979748081703
What is Thomas Widdrington's occupation?,0,-5.124077399478399,-4.43784063406941,-3.2655114888710726
What is William Lescaze's occupation?,1,-3.8942613872700083,-3.213033819320784,3.183524003213624
What is William Molyneux's occupation?,1,-0.9622906531703914,-1.4017038415203014,3.906986238823847
What is Windsor the capital of?,0,-3.39515400212134,-3.7597037407577014,-2.7159868959227396
What is the capital of Afghanistan?,1,11.519927263263375,9.428546323144447,7.658024362480107
What is the capital of Albania?,1,12.344773619539588,10.786205109110911,10.02586428261018
What is the capital of American Samoa?,1,6.972132797038768,5.032113626072942,6.487179944081214
What is the capital of Armenia?,1,8.899810774186065,12.189382009714539,9.623245414075841
What is the capital of Aruba?,1,10.65056459315829,10.610403204878029,9.723665766099504
What is the capital of Azerbaijan?,1,9.922354753461628,9.900972913498384,9.522060643012214
What is the capital of Bangladesh?,1,11.582250129409552,11.432469093319659,10.773089220429886
What is the capital of Bhutan?,1,7.659980561567124,6.805542668903037,9.089745899445347
What is the capital of Bosnia and Herzegovina?,1,6.130403084775077,7.199138229701184,10.953226721251088
What is the capital of Confederate States of America?,1,4.640449597361919,4.525371121079673,4.510636750718085
What is the capital of Connecticut?,1,5.650803287994606,6.7744062688436735,9.240174124505742
What is the capital of Cook Islands?,1,7.8675062196536585,7.089922983781693,9.92044664758123
What is the capital of Egypt Eyalet?,0,10.669717968031508,10.240795805839173,6.614892845153396
What is the capital of El Salvador?,1,9.593629469377978,9.576982182445889,11.738087899395236
What is the capital of European Union?,1,11.90540312556401,12.20337992027657,10.63619133451396
What is the capital of France?,1,8.987309990454309,7.669247396155978,7.924044127657806
What is the capital of French Guiana?,1,16.324114299619534,15.224290561432536,10.928793371815706
What is the capital of French Polynesia?,1,5.1045427132079535,7.586932224426003,8.964531597924129
What is the capital of Gabon?,1,11.769258555519393,9.605463776413487,8.176375871317921
What is the capital of Golden Valley County?,0,-2.716382335718699,-1.728091894678323,2.7495182362202755
What is the capital of Goondiwindi Region?,0,5.619460070798727,4.598057221892937,2.1344995955474357
What is the capital of Guadeloupe?,1,11.145577989443211,15.623570567632836,7.307545788700857
What is the capital of Guinea?,1,8.772123397448034,10.259574202795932,10.466008311667474
What is the capital of Guyana?,1,5.821372321915061,6.672689530526179,8.992037049731373
What is the capital of Iowa?,1,6.507071547536194,7.1637308101872845,6.707450495572745
What is the capital of Israel?,1,4.681450297137838,5.0575100989663575,12.804075375138755
What is the capital of Kingdom of the Netherlands?,1,17.77109451298286,15.794348511867414,8.727652962809579
What is the capital of Laos?,1,9.830153483447422,10.921119542500257,8.586802569623616
What is the capital of Larnaca District?,1,4.822662958742909,7.334651636230115,4.022172736724011
What is the capital of Lesotho?,1,11.109334087500804,7.612365238533981,10.266327078925347
What is the capital of Likouala Department?,1,0.17431818290918955,-0.9944331899803511,5.581907181239009
What is the capital of Loir-et-Cher?,1,7.682923638129976,7.148301773838956,10.534220072921894
What is the capital of Lys?,0,-1.6973050758310988,-1.6952999587162298,-9.18826306221359
What is the capital of Maryland?,1,10.927749121121305,10.98702336550198,8.372882200753793
What is the capital of Massac County?,1,0.00026726343345484516,-0.3460245277486973,-2.674137602263369
What is the capital of Mauritania?,1,6.804359082505283,5.489166111938357,10.323665037234834
What is the capital of Montenegro?,1,10.24248770002125,9.272724628483545,9.839354241754506
What is the capital of Morris County?,1,-0.8247905197664518,-1.7614103701390946,2.228933069592972
What is the capital of Nan?,1,3.780477042888487,4.4046380131213265,-6.374011191203924
What is the capital of Nauru?,1,11.882115940088546,12.160467281329247,10.791719246804861
What is the capital of Nebraska?,1,6.821673369873686,4.8341856556068885,5.238963037136398
What is the capital of Nidwalden?,1,4.71211459293716,3.6213856612875164,6.407162918480966
What is the capital of North Carolina?,1,8.3890695315245,7.139396455487505,10.202663119099546
What is the capital of Northumberland County?,0,3.8893401570431516,2.594569601320597,-1.6428695211385067
What is the capital of Nunavut?,1,10.485064507773448,11.797896435760904,8.67606353558768
What is the capital of Nyandeni Local Municipality?,0,4.321005061907648,4.1308073071671,8.478175441108604
What is the capital of Obwalden?,1,2.424956895907165,3.3262228932831612,9.79441683911404
What is the capital of Ohio?,1,8.136628221366417,6.045767116104536,7.343387524664427
What is the capital of Orotina Canton?,1,-2.3555909982412135,0.2690636452982036,5.599744504478586
What is the capital of Palestinian territories?,1,9.918348328355336,7.990462019277132,9.01690043143265
What is the capital of Papua New Guinea?,1,13.153239529545875,11.185047035065848,8.48470372824707
What is the capital of Plesetsky District?,1,7.778939284414572,8.58790765390049,5.697471198753218
What is the capital of Portugal?,1,12.841606479612889,10.66784611697707,10.150555640282708
What is the capital of Province of Florence?,1,-0.12850495403742612,1.810372665157617,6.65662289180956
What is the capital of Qasr-e Shirin County?,1,1.7073215402906912,3.522749167040466,2.7233015666880007
What is the capital of Rabun County?,1,-1.144286925815111,-0.7402719896870176,6.886432867582651
What is the capital of Riley County?,1,1.2096550594781046,1.2325443634580806,6.589511888550026
What is the capital of Russia?,1,10.071998146257101,10.397520131346912,7.811228720459179
What is the capital of Sergipe?,1,7.6365694332368745,9.674130669702466,12.307278073498514
What is the capital of Silla?,1,-0.17679665768583996,0.9850655509172725,9.658949162218903
What is the capital of South Sudan?,1,15.616189377553452,13.786800230726984,11.287747377686024
What is the capital of Tang Empire?,1,6.851851637481447,7.379362023969097,2.9331687414945664
What is the capital of Tindouf Province?,1,2.5732034030370463,3.3933652467531275,7.058605162163392
What is the capital of Tokugawa Shogunate?,1,9.44068101347506,6.957871322851505,7.1735634030729445
What is the capital of Tunisia?,1,10.557436078951131,9.789741544651013,9.494406038558218
What is the capital of Turkey?,1,9.595123539919848,9.436924941830684,9.31827599937024
What is the capital of Uruguay?,1,11.32436479084246,11.572125825613304,9.300148171258254
What is the capital of Uzbekistan?,1,11.037470980372166,7.9638613324203185,11.104529893329143
What is the capital of Vanuatu?,1,11.194744621787617,10.665803074312873,9.160839936505717
What is the capital of Vimmerby Municipality?,1,4.356181895335799,4.006842790704068,9.131882072774538
What is the capital of Wales?,1,9.164753974671214,8.932358190649195,9.611043919637389
What is the religion of Appalachian Bible College?,0,-0.44469406307323767,-0.09357853170893127,4.103971932148534
What is the religion of Dinesh D'Souza?,1,-5.658313236636445,-4.107715042944919,-0.9326747028366973
What is the religion of Father Jean Bernard?,0,-4.4644731542823735,-4.4537849098627404,-2.682350179075276
What is the religion of Francesco Bonifacio?,0,-0.29184932979278866,-3.3592687434173003,-7.657008597645006
What is the religion of Hillsdale Free Will Baptist College?,1,-3.8402895089949887,-3.1571996540045717,-4.754343005727431
What is the religion of James VI and I?,0,-1.1131781344434108,-2.5064875172103838,0.448371024627902
What is the religion of Kenneth Steiner?,0,-2.625969246471738,-3.034812010628811,-10.79799187386875
What is the religion of Kingdom of England?,1,-2.392887729533932,-2.1936812088175355,-2.729737032242636
What is the religion of Marjorie Cameron?,1,2.2473689315704437,4.160634958601908,-1.6678615373353072
What is the religion of Milica Hrebeljanović?,0,-0.83222320365432,-0.6290704176781143,1.6468393659632092
What is the religion of Muscat and Oman?,0,7.7378435007118,8.64748160160812,11.290778314008243
What is the religion of Ohio Northern University?,0,-0.683577987737394,-1.9555472831128389,-4.5922487634310425
What is the religion of Robert J. Fox?,0,-2.4495433370199633,-2.017478913052761,-8.221080918139837
What is the religion of Saint Patrick?,1,4.942242920099956,2.9368722840423422,-0.2419328955856095
What is the religion of Samuel Johnson?,1,-1.2646285889111835,0.08357117565793759,1.678128218124718
What is the religion of Thomas Cooray?,0,-3.7380923952700953,-2.1899413240360173,1.5994657526918203
What is the religion of bhikkhu?,1,6.590937080868461,4.182601073798507,8.204515848761543
What is the religion of saint?,1,5.744695085713947,6.3837526382473095,-1.5771732289647156
What sport does 1973 Virginia Slims of Fort Lauderdale play?,1,4.261335496553851,3.970393010770163,1.8948526034336814
What sport does 1994–95 FIBA Women's European Champions Cup play?,1,6.405990969624067,6.05974916951087,8.97553483367925
What sport does 2006–07 Primera B Nacional play?,1,1.3523639185705614,3.6649797473831525,10.382920387636023
What sport does 2010 Veikkausliiga play?,1,5.242250067136147,5.455229946911652,9.823445255280848
What sport does Algiers Derby play?,0,7.799218267383746,7.431675871490089,6.081173993704987
What sport does Bedworth United F.C. play?,1,6.411606479889074,5.461984839395686,10.267456553614954
What sport does Bennie Osler play?,0,-1.0621871988186735,-2.518535660413172,-6.704184133512097
What sport does Bryce Harper play?,1,6.292029108259555,7.609524734515928,8.260695814685114
What sport does Carlaw Park play?,1,1.6721987427053537,3.610731138299249,-2.4402363105134883
What sport does Corby Town F.C. play?,1,9.07054385571319,9.751134542160234,9.189998688800562
What sport does Daniel Manzato play?,0,-1.353643302744018,0.8356498809055928,6.255320242507073
What sport does Deportivo Cali play?,1,6.268520274039868,7.164363778756665,5.390569547653388
What sport does Diego Polenta play?,1,-3.4301812722988303,-1.946926277855186,2.816635148236984
What sport does Dorus de Vries play?,1,-2.007632981752805,-2.154706356181435,5.093307590936261
What sport does Elias MacDonald play?,0,-1.5865693242907088,-2.790981731843759,-6.755977827095054
What sport does FC Dynamo Brest play?,1,2.7982043447314116,0.6610391650032579,5.584320442696739
What sport does Friedhelm Konietzka play?,1,3.54399291832166,0.8804328178710876,6.626993300643173
What sport does George Burley play?,1,-0.051257837384166116,1.7375160011094348,0.2210015787357813
What sport does Grantham Town F.C. play?,1,3.9658614725819414,5.2473431556921835,8.532528890649434
What sport does HSV Hamburg play?,1,6.952105540811791,5.455139909233683,-5.191698630638182
What sport does Kaisa Varis play?,1,1.1804452408902637,1.7786869181479876,-2.809984309168607
What sport does Ligue Magnus play?,1,0.861594325786694,0.7437920807164344,7.199062990829676
What sport does Najeh Humoud play?,0,1.773618436083337,0.8311279574039141,-5.0808922164002706
What sport does Olympique Lyonnais Féminin play?,1,11.494103164388394,11.798712207192501,9.516917218159007
What sport does Richard Varga play?,1,3.490317439015966,1.9043773574330358,6.741911675033943
What sport does Slower ball play?,1,2.697282534362989,3.8841163403924153,2.2918472218915173
What sport does St. Louis Cardinals play?,1,6.965764727665784,7.610096991438702,5.05550029967179
What sport does Stadio Brianteo play?,1,6.305497855179864,8.411955360591834,9.837689309888951
What sport does Thiago Quirino play?,0,2.6332061419281567,2.1758213181187864,0.376127475832005
What sport does Tranmere Rovers F.C. play?,1,7.995784885561745,9.33281437751373,11.645660777210917
What sport does Warrenpoint Town F.C. play?,1,3.7155216341740944,3.8201074739123966,9.191195758222342
What sport does earned run average play?,1,6.209724957382118,7.604381002601263,12.638583956759174
What sport does face mask play?,1,5.0698927046512114,7.590529276359357,-1.3796703101759618
Who is the author of A Marriage Proposal?,1,1.751925821579838,1.3462795046920744,-0.13967543268389782
Who is the author of Bec?,0,-4.990478383519583,-2.3307655041109436,-11.470186507762746
Who is the author of Black Orchids?,1,5.48319013812078,5.024929467449515,6.310186437865767
Who is the author of Blue Latitudes?,1,-1.3627183420012376,-0.3463933643836472,8.859196031295031
Who is the author of Checkers?,0,-2.9285258662679303,-1.7419665776102722,-3.1820832583964505
Who is the author of Chosen?,0,5.403264819939741,4.373640584007262,-1.8581769781116204
Who is the author of Christopher and His Kind?,1,1.8528140775224649,2.4958538521937776,9.242259008316497
Who is the author of Close to Home?,0,-2.100234802920525,-2.7721450959440865,-10.157717390499759
Who is the author of Couples?,1,-1.9743838697345957,-0.055675199261895125,-7.53570565636457
Who is the author of Definitions?,0,4.366554656964715,2.920828324076977,-7.634743517265751
Who is the author of Detective?,0,-4.256948553938523,-2.1590932194804346,-1.9311236648850327
Who is the author of Elements?,1,2.7792921385389397,2.0296582437533157,4.6365877420570705
Who is the author of Fail-Safe Investing?,0,-0.7014685754857881,0.9834842666955075,-2.3854598471032675
Who is the author of Find Me?,0,-1.2167096222024638,-5.104430877071201,-0.9815814605227062
Who is the author of Finder?,0,-0.5068849306502805,-1.3304462202860219,-3.1539929444227557
Who is the author of Free to Choose?,1,0.5974556416437082,0.5747232828192848,8.615825924038319
Who is the author of GNU Affero General Public License?,0,1.659000100627032,3.2714511326620213,7.348732328464955
Who is the author of GNU General Public License?,1,5.466116488178205,4.027919703044345,-2.7767767460377284
Who is the author of Gin Tama?,1,10.323651782765362,6.861037535664936,9.188002361784745
Who is the author of Gor?,1,5.121545721490133,4.778709864163743,0.5907435205339999
Who is the author of Hard Time?,0,-2.070998330850407,-2.6965041746169236,-3.865223272787871
Who is the author of How to Be Both?,1,1.022560653861126,1.9710460688665616,6.632052588396909
Who is the author of Jumper?,1,2.155790408906882,0.4850102946415764,-0.7974510212096169
Who is the author of Keeping the Moon?,0,-1.6135633793480446,-1.0964660846802778,0.5325262729621705
Who is the author of Kim?,1,2.876205736754451,0.798954722794569,10.016634766125208
Who is the author of Le Ton beau de Marot?,0,-0.18775749203155834,1.379799859989544,0.18614946512185582
Who is the author of Libra?,1,2.2275433377457654,5.183729277813008,1.7655057909392027
Who is the author of Lucky?,0,0.41876721360585045,0.8279267949047675,2.129002277813979
Who is the author of Make Love! The Bruce Campbell Way?,1,3.9212784570675123,4.768977139731451,3.9890438240167225
Who is the author of Mary Marston?,0,-1.2106478725162355,0.2298272808001629,-3.9385487052122814
Who is the author of Millennial Rites?,0,-3.4634273129890234,-5.501481135037634,-2.694087560137535
Who is the author of Molly Moon Stops the World?,1,-2.321295741718715,-1.9627718022643472,3.526392090918555
