qid,K,C,layer,train_input,test_input,decision_score,probability,fold
What genre is Death of an Expert Witness?,1,1,15,q,q,-4.62698290080724,0.0096894309552676,4
What sport does 1994–95 FIBA Women's European Champions Cup play?,1,1,15,q,q,8.263496780608449,0.9997423103240761,0
What genre is Johann Sebastian Bach?,1,1,15,q,q,9.452915304343666,0.9999215456602594,3
In what city was Ted Williams born?,1,1,15,q,q,1.1959193858416055,0.7677980696403873,2
What sport does St. Louis Cardinals play?,1,1,15,q,q,5.781899892535327,0.9969266220199026,4
What is the capital of Portugal?,1,1,15,q,q,9.617924948243969,0.9999334789069284,2
What is Kanye West's occupation?,1,1,15,q,q,4.866135016651279,0.9923558037524173,2
Who is the author of A Marriage Proposal?,1,1,15,q,q,2.9691485977820116,0.9511607411636627,3
What color is Juventus F.C.?,1,1,15,q,q,9.471239832705628,0.999922970097364,3
Who is the author of When I have Fears that I may Cease to Be?,1,1,15,q,q,5.8921367219176135,0.9972465317714921,0
What is Cardiff the capital of?,1,1,15,q,q,4.04900922514892,0.9828592831697324,1
Who was the screenwriter for Brave?,1,1,15,q,q,4.096480158583214,0.9836409576813904,2
Who is the author of Same-Sex Unions in Pre-Modern Europe?,1,1,15,q,q,-0.41744339487216164,0.3971286848513861,1
What color is chalk?,1,1,15,q,q,8.752109070728116,0.999841897529186,2
What is the capital of French Polynesia?,1,1,15,q,q,7.174929274921531,0.9992350457439237,2
What is the capital of Vanuatu?,1,1,15,q,q,7.853507057811965,0.9996117633066344,3
What is the capital of El Salvador?,1,1,15,q,q,11.508557801831586,0.9999899563287235,4
Who was the producer of Open Season?,1,1,15,q,q,-0.8620891497049337,0.29690304729096284,3
Who is the author of Molly Moon Stops the World?,1,1,15,q,q,3.8181288366028787,0.978503386499214,2
Who is the author of Libra?,1,1,15,q,q,1.166357605866592,0.7624860049467966,1
Who is the father of Ramkarpal Singh?,1,1,15,q,q,1.5408639064957295,0.8235902767095945,2
What is the religion of saint?,1,1,15,q,q,-2.887482518798039,0.05277582707885687,2
Who is the author of The Stud?,1,1,15,q,q,5.2460474574705795,0.9947593090518455,1
What genre is Big Business?,1,1,15,q,q,-1.4192203565195205,0.19478383618937017,3
In what country is Volvic?,1,1,15,q,q,7.077258662493227,0.9991566279782358,2
In what country is Pindus?,1,1,15,q,q,8.51880861335334,0.999800362686584,0
"Who is the author of The Quest: Energy, Security, and the Remaking of the Modern World?",1,1,15,q,q,1.230132788837185,0.7738418145766247,2
What is the capital of Nauru?,1,1,15,q,q,8.18947740360954,0.9997225181199412,3
What is the capital of Kingdom of the Netherlands?,1,1,15,q,q,11.09343809999973,0.9999847884159483,4
What is William Lescaze's occupation?,1,1,15,q,q,5.1743595324801985,0.9943720128134181,3
In what city was Babyface born?,1,1,15,q,q,5.124878900484578,0.9940882195049089,0
In what city was Jean Arp born?,1,1,15,q,q,1.089600983678051,0.7483065767854234,0
What is the capital of Afghanistan?,1,1,15,q,q,7.544754523425309,0.9994714024870048,1
Who was the director of Mud?,1,1,15,q,q,0.9372241659874905,0.7185386110215622,1
What is Nigel Sheinwald's occupation?,1,1,15,q,q,0.2850335495899461,0.5707798312352794,3
Who was the screenwriter for Toy Story?,1,1,15,q,q,4.785939873725561,0.9917228081096009,4
Who is the author of The Neverending Story?,1,1,15,q,q,3.9593947988176788,0.9812823773873315,2
What genre is Southern Rock Opera?,1,1,15,q,q,3.384998262524022,0.9672323900904775,4
What is Rodez the capital of?,1,1,15,q,q,5.971065962454038,0.9974549735420869,2
What is the capital of Wales?,1,1,15,q,q,9.56679880794043,0.99992998974458,2
In what country is Tadami Line?,1,1,15,q,q,9.661812409532326,0.999936335030533,2
What is John Scurti's occupation?,1,1,15,q,q,1.1823590502919035,0.7653717021405919,3
What genre is Quenta Silmarillion?,1,1,15,q,q,5.808471956340331,0.9970069713357844,0
What is the capital of Sergipe?,1,1,15,q,q,10.758641806901004,0.9999787395722978,2
Who is the father of Ariarathes VI of Cappadocia?,1,1,15,q,q,0.8159416000179007,0.6933741759851215,4
What genre is General Hospital?,1,1,15,q,q,3.1214916923394034,0.9577706024745457,1
Who is the father of Moses?,1,1,15,q,q,10.094048046985503,0.999958676919777,2
What sport does Kaisa Varis play?,1,1,15,q,q,-1.9830781206182813,0.12099109074579283,3
What is the capital of Orotina Canton?,1,1,15,q,q,2.207591990236811,0.900929205455582,1
Who was the composer of It's Going to Take Some Time?,1,1,15,q,q,-0.8983433708158675,0.289391054116298,4
What is the capital of France?,1,1,15,q,q,8.355128604518953,0.9997648680622433,4
What is the religion of Dinesh D'Souza?,1,1,15,q,q,-0.11678023669288606,0.47083807490969487,0
Who was the producer of Precious?,1,1,15,q,q,5.584316385368464,0.9962577403473198,2
Who was the director of Scary Movie 3?,1,1,15,q,q,2.5392344835002043,0.9268469402223365,3
What genre is Banjo-Kazooie?,1,1,15,q,q,7.469424158147958,0.9994300684272753,4
What is the capital of Iowa?,1,1,15,q,q,6.872275707358425,0.9989649559444708,1
Who was the composer of Balika Badhu?,1,1,15,q,q,-4.196904534143352,0.014819156291516313,3
In what country is Sabana de la Mar?,1,1,15,q,q,9.432219501987504,0.9999199051980096,1
In what country is Hawi?,1,1,15,q,q,0.021061319482948537,0.505265135246812,0
What is the capital of Uruguay?,1,1,15,q,q,10.398507471091417,0.9999695229905942,0
What is the capital of Gabon?,1,1,15,q,q,6.737693444601579,0.9988160253115437,1
Who was the composer of The Prestige?,1,1,15,q,q,-1.4897599537210526,0.1839577597855911,0
In what city was Dawson Turner born?,1,1,15,q,q,1.3133608753580386,0.7880750084940636,0
What is the capital of Aruba?,1,1,15,q,q,8.24143252244871,0.9997365629174082,2
What is the capital of Guinea?,1,1,15,q,q,12.09231125756616,0.9999943976077278,3
What is Dean Alfange's occupation?,1,1,15,q,q,2.9676538992803563,0.9510912596190476,0
Who is the author of Success is Counted Sweetest?,1,1,15,q,q,4.278558458283359,0.9863269137023285,2
What sport does Friedhelm Konietzka play?,1,1,15,q,q,7.7825537771447095,0.9995832277449307,2
What sport does Diego Polenta play?,1,1,15,q,q,0.5530111437226521,0.6348339167868017,0
Who is the father of Talia Balsam?,1,1,15,q,q,9.659428511996111,0.9999361830884196,1
In what country is Ferrari?,1,1,15,q,q,12.325194978376217,0.9999955615237034,1
Who was the producer of Back to the Future?,1,1,15,q,q,-2.6220346267135515,0.06773370229632715,3
Who was the screenwriter for Our Town?,1,1,15,q,q,2.4209667107004478,0.9184122106581942,4
What sport does Bryce Harper play?,1,1,15,q,q,4.414288499533997,0.9880415723249821,0
Who is the father of Beau Biden?,1,1,15,q,q,12.720877373903168,0.9999970119225241,2
What color is Exeter City F.C.?,1,1,15,q,q,6.141593608255343,0.9978531267321104,4
"Who was the director of South Park: Bigger, Longer & Uncut?",1,1,15,q,q,7.6710130214463685,0.9995340718210789,2
In what country is Varany Maha Vidyalayam?,1,1,15,q,q,3.040446200066805,0.9543682649364198,3
Who is the author of Ross O'Carroll-Kelly?,1,1,15,q,q,5.552363446776628,0.9961367026558876,3
Who was the screenwriter for Star Trek: First Contact?,1,1,15,q,q,3.6631883038957245,0.9749908981690575,1
Who was the screenwriter for The Bourne Legacy?,1,1,15,q,q,0.29910652778496516,0.5742240855885924,1
What sport does Grantham Town F.C. play?,1,1,15,q,q,7.934432996268891,0.9996419332466748,0
What genre is The Rolling Stones?,1,1,15,q,q,4.798744387719497,0.9918272572004158,0
In what country is Cambridge?,1,1,15,q,q,0.6424625428268009,0.655309909440583,2
Who is the author of Moneyball?,1,1,15,q,q,6.870467144177977,0.9989630842509207,1
What is Stockholm the capital of?,1,1,15,q,q,4.7289336818579795,0.9912415012274901,1
In what country is Macedonian Academy of Sciences and Arts?,1,1,15,q,q,13.289616840798391,0.9999983080325469,0
What genre is Synyster Gates?,1,1,15,q,q,5.551288429942156,0.9961325633835996,3
Who is the author of The Clouds?,1,1,15,q,q,9.872739398607537,0.9999484413703782,0
What is William Molyneux's occupation?,1,1,15,q,q,0.620291140141674,0.65028476095743,3
Who is the mother of Sean Penn?,1,1,15,q,q,9.941928272971243,0.9999518878775323,4
Who is the father of Griffin O'Neal?,1,1,15,q,q,2.6110572361889535,0.9315698231853208,1
What genre is Claude Lorrain?,1,1,15,q,q,3.2285066822439257,0.96189305339387,1
What is the capital of Nan?,1,1,15,q,q,-2.4182582383283604,0.08179096861663775,4
What is the capital of Armenia?,1,1,15,q,q,9.660943395743736,0.9999362796842773,3
What is Rhea Silvia's occupation?,1,1,15,q,q,4.116437440387315,0.9839590182381107,4
Who was the producer of The Terminal?,1,1,15,q,q,-1.0419748814364849,0.2607691189929981,2
What genre is Suikoden Tierkreis?,1,1,15,q,q,0.9890306040555249,0.7288964059831005,3
In what country is Joint European Torus?,1,1,15,q,q,6.911191398059117,0.999004422384938,2
What is Seif Sharif Hamad's occupation?,1,1,15,q,q,1.459636132354198,0.8114770158698305,0
Who was the producer of Particle Fever?,1,1,15,q,q,12.623991917494157,0.9999967079339436,0
Who is the father of James I of Aragon?,1,1,15,q,q,1.0602914093775577,0.7427462300747929,4
In what country is New York State Route 157?,1,1,15,q,q,11.066492138041728,0.9999843729592865,1
In what country is Canadian Dairy Commission?,1,1,15,q,q,8.043239961392274,0.9996788368074999,1
Who is the author of Make Love! The Bruce Campbell Way?,1,1,15,q,q,2.499485149361167,0.92410571915298,0
Who was the producer of Chef?,1,1,15,q,q,-5.767522083825613,0.0031177468516598848,2
What is the capital of Tunisia?,1,1,15,q,q,10.559606400750708,0.9999740576124867,2
Who is the author of The Confidential Clerk?,1,1,15,q,q,4.52471078551197,0.9892783511592241,4
What color is snow?,1,1,15,q,q,8.420247594591228,0.9997796884617598,0
What is the capital of Silla?,1,1,15,q,q,6.923674795451955,0.9990167611807822,1
In what country is Wiang Kao?,1,1,15,q,q,8.978743818910697,0.9998739547857426,1
Who is the father of Donald Trump?,1,1,15,q,q,15.920372905609174,0.9999998781375672,1
In what city was Benny Napoleon born?,1,1,15,q,q,2.7130356897479815,0.9377914821050365,4
What is the capital of Connecticut?,1,1,15,q,q,8.177892359701197,0.9997192856948316,2
Who is the author of Our Lady of the Flowers?,1,1,15,q,q,12.569240831222249,0.9999965226648135,2
What is the capital of Azerbaijan?,1,1,15,q,q,10.76903223419044,0.9999789593289183,1
Who was the director of Alien?,1,1,15,q,q,6.4795721700245394,0.9984678839516593,2
Who is the author of The Incoherence of the Philosophers?,1,1,15,q,q,9.190346978950881,0.9998979909469482,1
