mode,qid,n_tok,cut
cq,What genre is Peggle 2?,167,0
cq,What is the religion of Kingdom of England?,142,0
cq,Who is the author of The Little Prince?,143,0
cq,Who is the father of King Arthur?,152,0
cq,Who was the producer of Amistad?,173,0
cq,Who is the author of Gor?,149,0
cq,In what country is Old Persian?,155,0
cq,What is the capital of South Sudan?,140,0
cq,In what country is Wynau?,156,0
cq,What is the capital of Nunavut?,198,0
cq,What is the capital of Riley County?,144,0
cq,In what country is Velventos?,169,0
cq,Who is the author of How to Be Both?,153,0
cq,What is the capital of Tang Empire?,140,0
cq,Who was the composer of The Nose?,169,0
cq,In what country is Severna Park?,158,0
cq,What is the capital of North Carolina?,147,0
cq,Who is the father of Wayne Gretzky?,148,0
cq,Who was the composer of Anything Goes?,143,0
cq,Who was the composer of Soul Eyes?,163,0
cq,Who was the producer of The Slim Shady LP?,165,0
cq,Who was the director of The Man Trap?,154,0
cq,Who was the producer of Crash?,160,0
cq,Who is the father of Arjuna?,168,0
cq,What genre is Prince?,159,0
cq,Who is the father of Archduchess Assunta of Austria?,169,0
cq,What is the capital of Mauritania?,146,0
cq,Who is the father of Li Xian?,176,0
cq,What is the capital of European Union?,142,0
cq,What sport does Olympique Lyonnais Féminin play?,170,0
cq,In what country is Katmai National Park and Preserve?,131,0
cq,Who is the mother of Jesus?,139,0
cq,What is the capital of Tokugawa Shogunate?,176,0
cq,Who was the director of Errand of Mercy?,158,0
cq,What is Lisa McRee's occupation?,162,0
cq,Who was the director of The Sting?,154,0
cq,What is Budapest the capital of?,154,0
cq,What is Ski Beatz's occupation?,153,0
cq,What sport does Dorus de Vries play?,144,0
cq,What is the religion of bhikkhu?,210,0
cq,"Who is the father of Mary, Princess Royal and Countess of Harewood?",161,0
cq,Who was the producer of Titanic?,151,0
cq,Who was the director of The Omen?,144,0
cq,Who was the screenwriter for The Joy Luck Club?,157,0
cq,Who is the author of GNU General Public License?,137,0
cq,In what country is The Players Championship?,177,0
cq,Who is the author of Black Orchids?,170,0
cq,What is the capital of Confederate States of America?,147,0
cq,What sport does 2006–07 Primera B Nacional play?,169,0
cq,Who was the screenwriter for Stereo?,168,0
cq,Who is the author of Natalka Poltavka?,189,0
cq,What sport does Tranmere Rovers F.C. play?,155,0
cq,Who was the screenwriter for Wolf?,139,0
cq,What genre is Super Mario World?,152,0
cq,Who was the screenwriter for Witness for the Prosecution?,151,0
cq,Who is the father of Macrianus Minor?,181,0
cq,What sport does Ligue Magnus play?,155,0
cq,What is Dick Rude's occupation?,154,0
cq,In what country is Deodara?,293,0
cq,Who was the director of Madea Gets a Job?,148,0
cq,Who is the father of Tiger Woods?,138,0
cq,In what country is Kuujjuarapik?,195,0
cq,Who is the author of New Mutants?,159,0
cq,In what country is Lugano Airport?,153,0
cq,In what country is Sinaloa Cartel?,175,0
cq,Who is the father of William III of the Netherlands?,166,0
cq,In what country is Chrysler?,149,0
cq,Who is the author of Jumper?,140,0
cq,Who was the director of The Designated Mourner?,153,0
cq,What is Andy C's occupation?,153,0
cq,What is the capital of Russia?,131,0
cq,In what country is Bouvet Island?,141,0
cq,What sport does Corby Town F.C. play?,164,0
cq,In what country is Revigliasco d'Asti?,190,0
cq,Who was the screenwriter for Les Bonnes Femmes?,138,0
cq,What is the capital of Uzbekistan?,174,0
cq,In what country is Asiana Airlines?,154,0
cq,What is the capital of Obwalden?,179,0
cq,In what country is Kanjiroba Himal?,163,0
cq,Who was the director of Green Hell?,149,0
cq,Who is the father of Randolph Churchill?,147,0
cq,In what country is Kireyevsky District?,194,0
cq,What is Benazir Bhutto's occupation?,172,0
cq,Who was the director of Alphaville?,178,0
cq,What is Firaq Gorakhpuri's occupation?,179,0
cq,Who was the screenwriter for Tanu Weds Manu?,152,0
cq,Who was the composer of Samson?,174,0
cq,Who is the author of Couples?,155,0
cq,Who was the producer of Xxplosive?,182,0
cq,Who was the composer of Shaft?,151,0
cq,Who was the producer of No Entry?,165,0
cq,Who is the mother of Todd McCaffrey?,168,0
cq,What genre is Death of an Expert Witness?,138,0
cq,What sport does 1994–95 FIBA Women's European Champions Cup play?,180,0
cq,What genre is Johann Sebastian Bach?,161,0
cq,In what city was Ted Williams born?,155,0
cq,What sport does St. Louis Cardinals play?,132,0
cq,What is the capital of Portugal?,147,0
cq,What is Kanye West's occupation?,199,0
cq,Who is the author of A Marriage Proposal?,177,0
cq,What color is Juventus F.C.?,154,0
cq,Who is the author of When I have Fears that I may Cease to Be?,185,0
cq,What is Cardiff the capital of?,131,0
cq,Who was the screenwriter for Brave?,186,0
cq,Who is the author of Same-Sex Unions in Pre-Modern Europe?,160,0
cq,What color is chalk?,144,0
cq,What is the capital of French Polynesia?,190,0
cq,What is the capital of Vanuatu?,150,0
cq,What is the capital of El Salvador?,139,0
cq,Who was the producer of Open Season?,146,0
cq,Who is the author of Molly Moon Stops the World?,149,0
cq,Who is the author of Libra?,147,0
cq,Who is the father of Ramkarpal Singh?,177,0
cq,What is the religion of saint?,148,0
cq,Who is the author of The Stud?,145,0
cq,What genre is Big Business?,144,0
cq,In what country is Volvic?,150,0
cq,In what country is Pindus?,150,0
cq,"Who is the author of The Quest: Energy, Security, and the Remaking of the Modern World?",157,0
cq,What is the capital of Nauru?,171,0
cq,What is the capital of Kingdom of the Netherlands?,140,0
cq,What is William Lescaze's occupation?,176,0
cq,In what city was Babyface born?,168,0
cq,In what city was Jean Arp born?,166,0
cq,What is the capital of Afghanistan?,143,0
cq,Who was the director of Mud?,153,0
cq,What is Nigel Sheinwald's occupation?,159,0
cq,Who was the screenwriter for Toy Story?,158,0
cq,Who is the author of The Neverending Story?,151,0
cq,What genre is Southern Rock Opera?,153,0
cq,What is Rodez the capital of?,161,0
cq,What is the capital of Wales?,134,0
cq,In what country is Tadami Line?,168,0
cq,What is John Scurti's occupation?,161,0
cq,What genre is Quenta Silmarillion?,157,0
cq,What is the capital of Sergipe?,154,0
cq,Who is the father of Ariarathes VI of Cappadocia?,217,0
cq,What genre is General Hospital?,149,0
cq,Who is the father of Moses?,150,0
cq,What sport does Kaisa Varis play?,155,0
cq,What is the capital of Orotina Canton?,160,0
cq,Who was the composer of It's Going to Take Some Time?,155,0
cq,What is the capital of France?,148,0
cq,What is the religion of Dinesh D'Souza?,176,0
cq,Who was the producer of Precious?,162,0
cq,Who was the director of Scary Movie 3?,154,0
cq,What genre is Banjo-Kazooie?,182,0
cq,What is the capital of Iowa?,147,0
cq,Who was the composer of Balika Badhu?,193,0
cq,In what country is Sabana de la Mar?,156,0
cq,In what country is Hawi?,154,0
cq,What is the capital of Uruguay?,149,0
cq,What is the capital of Gabon?,153,0
cq,Who was the composer of The Prestige?,177,0
cq,In what city was Dawson Turner born?,163,0
cq,What is the capital of Aruba?,155,0
cq,What is the capital of Guinea?,165,0
cq,What is Dean Alfange's occupation?,145,0
cq,Who is the author of Success is Counted Sweetest?,141,0
cq,What sport does Friedhelm Konietzka play?,178,0
cq,What sport does Diego Polenta play?,147,0
cq,Who is the father of Talia Balsam?,164,0
cq,In what country is Ferrari?,135,0
cq,Who was the producer of Back to the Future?,152,0
cq,Who was the screenwriter for Our Town?,148,0
cq,What sport does Bryce Harper play?,149,0
cq,Who is the father of Beau Biden?,137,0
cq,What color is Exeter City F.C.?,155,0
cq,"Who was the director of South Park: Bigger, Longer & Uncut?",158,0
cq,In what country is Varany Maha Vidyalayam?,182,0
cq,Who is the author of Ross O'Carroll-Kelly?,171,0
cq,Who was the screenwriter for Star Trek: First Contact?,151,0
cq,Who was the screenwriter for The Bourne Legacy?,155,0
cq,What sport does Grantham Town F.C. play?,164,0
cq,What genre is The Rolling Stones?,155,0
cq,In what country is Cambridge?,148,0
cq,Who is the author of Moneyball?,149,0
cq,What is Stockholm the capital of?,146,0
cq,In what country is Macedonian Academy of Sciences and Arts?,138,0
cq,What genre is Synyster Gates?,160,0
cq,Who is the author of The Clouds?,150,0
cq,What is William Molyneux's occupation?,176,0
cq,Who is the mother of Sean Penn?,148,0
cq,Who is the father of Griffin O'Neal?,164,0
cq,What genre is Claude Lorrain?,149,0
cq,What is the capital of Nan?,156,0
cq,What is the capital of Armenia?,139,0
cq,What is Rhea Silvia's occupation?,169,0
cq,Who was the producer of The Terminal?,150,0
cq,What genre is Suikoden Tierkreis?,171,0
cq,In what country is Joint European Torus?,148,0
cq,What is Seif Sharif Hamad's occupation?,187,0
cq,Who was the producer of Particle Fever?,143,0
cq,Who is the father of James I of Aragon?,155,0
cq,In what country is New York State Route 157?,162,0
cq,In what country is Canadian Dairy Commission?,140,0
cq,Who is the author of Make Love! The Bruce Campbell Way?,156,0
cq,Who was the producer of Chef?,157,0
cq,What is the capital of Tunisia?,154,0
cq,Who is the author of The Confidential Clerk?,148,0
cq,What color is snow?,150,0
cq,What is the capital of Silla?,164,0
cq,In what country is Wiang Kao?,182,0
cq,Who is the father of Donald Trump?,163,0
cq,In what city was Benny Napoleon born?,152,0
cq,What is the capital of Connecticut?,148,0
cq,Who is the author of Our Lady of the Flowers?,152,0
cq,What is the capital of Azerbaijan?,149,0
cq,Who was the director of Alien?,157,0
cq,Who is the author of The Incoherence of the Philosophers?,181,0
cq,What is the capital of Bangladesh?,147,0
cq,In what city was Alma Karlin born?,174,0
cq,What is Stevie Cameron's occupation?,155,0
cq,What genre is S.H.E?,168,0
cq,Who is the author of Tuesday?,176,0
cq,Who is the author of Ship Breaker?,142,0
cq,What is the capital of Plesetsky District?,178,0
cq,What sport does George Burley play?,151,0
cq,Who is the author of The Jungle?,167,0
cq,Who was the screenwriter for Brian Wilson: I Just Wasn't Made for These Times?,155,0
cq,What is the capital of Papua New Guinea?,143,0
cq,Who is the author of Thunderball?,158,0
cq,In what country is Toronto Northwest?,139,0
cq,In what country is Sircilla?,156,0
cq,Who is the father of Princess Senate Seeiso?,155,0
cq,What sport does Deportivo Cali play?,168,0
cq,What is the capital of Israel?,146,0
cq,What sport does HSV Hamburg play?,160,0
cq,Who was the composer of Petrushka chord?,172,0
cq,In what country is Husainid Dynasty?,161,0
cq,What sport does face mask play?,136,0
cq,What sport does Warrenpoint Town F.C. play?,161,0
cq,Who is the mother of Parikshit?,159,0
cq,In what city was Andries Bonger born?,152,0
cq,Who was the director of Breaking Bad?,146,0
cq,What sport does Carlaw Park play?,168,0
cq,Who was the director of The Black Tent?,141,0
cq,Who is the author of Tom Sawyer Abroad?,153,0
cq,Who was the composer of Dragonball Evolution?,151,0
cq,Who is the father of George W. Bush?,147,0
cq,Who was the producer of Freddie Foxxx Is Here?,158,0
cq,Who is the author of NW?,149,0
cq,What is the capital of Qasr-e Shirin County?,230,0
cq,What is the capital of Larnaca District?,166,0
cq,In what country is Bundesautobahn 100?,163,0
cq,Who was the screenwriter for The Blackcoat's Daughter?,169,0
cq,In what country is American Booksellers Association?,147,0
cq,What genre is Prince Lasha?,187,0
cq,Who is the father of Abraham Lincoln?,156,0
cq,Who was the director of The Stranger?,142,0
cq,Who is the author of Blue Latitudes?,145,0
cq,What is the capital of Ohio?,136,0
cq,Who is the author of The Dining Room?,149,0
cq,Who is the father of Vira Someshwara?,190,0
cq,In what country is Gmina Dziadkowice?,173,0
cq,What is the religion of Hillsdale Free Will Baptist College?,142,0
cq,What is the capital of Massac County?,152,0
cq,Who was the director of Voyage to the Planet of Prehistoric Women?,161,0
cq,Who is the author of The Camp of the Saints?,154,0
cq,What genre is Ultima Online: Samurai Empire?,161,0
cq,In what city was Constantine of Kostenets born?,167,0
cq,Who is the father of Thor?,149,0
cq,What is G. Karunakara Reddy's occupation?,172,0
cq,In what country is British American Tobacco?,138,0
cq,Who was the producer of The Chronic?,139,0
cq,In what country is Tigra?,134,0
cq,What genre is Doorways in the Sand?,162,0
cq,What genre is Michel Langevin?,154,0
cq,Who is the author of Poil de carotte?,157,0
cq,Who is the author of Kim?,158,0
cq,What is the capital of Palestinian territories?,132,0
cq,Who is the author of Why I Write?,148,0
cq,What is the capital of American Samoa?,165,0
cq,What is the religion of Thomas Cooray?,204,0
cq,What is the capital of Nyandeni Local Municipality?,151,0
cq,Who is the author of Fail-Safe Investing?,142,0
cq,Who was the screenwriter for The Duellists?,168,0
cq,Who is the author of Millennial Rites?,143,0
cq,In what city was Cloe Elmo born?,177,0
cq,In what city was Ed Parker Jr. born?,158,0
cq,In what city was Angela Leong born?,168,0
cq,Who was the composer of La permission de dix heures?,177,0
cq,Who was the producer of Rain Dogs?,162,0
cq,In what city was Pete Stewart born?,153,0
cq,Who was the director of Disney's The Kid?,156,0
cq,What is Bill Kintner's occupation?,165,0
cq,What is Mariana Vicente's occupation?,164,0
cq,In what country is Mon?,173,0
cq,What is Jay the capital of?,150,0
cq,Who was the composer of Saturday Night?,147,0
cq,Who was the director of Postal?,149,0
cq,Who was the director of Hoot?,152,0
cq,Who is the author of Keeping the Moon?,142,0
cq,Who was the director of Fix?,151,0
cq,What genre is Alexander Beggrov?,173,0
cq,Who was the director of Free and Easy?,154,0
cq,Who was the producer of Smoke?,159,0
cq,Who is the author of Roma?,146,0
cq,What sport does Bennie Osler play?,149,0
cq,Who was the director of Hari-Bhari?,170,0
cq,Who was the director of Burning Man?,153,0
cq,In what city was Alexandros Matsas born?,160,0
cq,Who is the author of Le Ton beau de Marot?,150,0
cq,Who is the father of Adad?,172,0
cq,In what city was William Osler born?,141,0
cq,What sport does Algiers Derby play?,141,0
cq,Who is the author of GNU Affero General Public License?,149,0
cq,Who was the screenwriter for Return of the Fly?,147,0
cq,"Who is the father of Frederick IV, Elector Palatine?",186,0
cq,Who was the director of Time Limit?,150,0
cq,In what city was John Keating born?,167,0
cq,Who is the author of Showdown?,164,0
cq,In what city was Hittman born?,166,0
cq,Who is the author of Checkers?,153,0
cq,Who was the composer of Imagine This?,141,0
cq,What genre is Raavan?,167,0
cq,Who was the producer of The Fighter?,161,0
cq,"What is Sir Thomas Clarges, 3rd Baronet's occupation?",191,0
cq,What is the capital of Golden Valley County?,149,0
cq,What genre is Foreign Legion?,153,0
cq,Who was the producer of The Lost Bridegroom?,157,0
cq,Who was the producer of Still Alive and Well?,144,0
cq,What is the religion of Milica Hrebeljanović?,167,0
cq,What is the religion of Muscat and Oman?,161,0
cq,Who is the father of Sun He?,136,0
cq,Who was the producer of Friday the 13th Part 2?,153,0
cq,Who was the composer of Sleep?,153,0
cq,Who was the producer of The Guilty?,148,0
cq,Who is the author of Riders in the Chariot?,141,0
cq,Who is the author of Obsessed?,156,0
cq,Who is the father of Hooge?,162,0
cq,Who was the director of My Family?,149,0
cq,What is Jack Mackenzie's occupation?,159,0
cq,Who was the producer of Paid?,151,0
cq,Who was the screenwriter for The Purchase Price?,147,0
cq,Who is the author of Find Me?,162,0
cq,Who was the composer of Troy?,141,0
cq,Who is the author of Mary Marston?,141,0
cq,Who is the father of Sisowath of Cambodia?,170,0
cq,Who was the director of Green Tea?,158,0
cq,Who was the producer of 2001?,169,0
cq,In what city was Mikael Eriksson born?,178,0
cq,Who was the director of Late Last Night?,146,0
cq,Who is the mother of Christiane Sehested?,176,0
cq,In what city was Steve McDonald born?,167,0
cq,Who is the author of Saints of Big Harbour?,155,0
cq,What is Thomas McMurtry's occupation?,165,0
cq,Who was the composer of Ariane et Barbe-bleue?,191,0
cq,Who is the author of Lucky?,144,0
cq,Who was the composer of Never Forget?,152,0
cq,Who was the composer of Apache?,153,0
cq,Who was the director of The Gamesters of Triskelion?,170,0
cq,Who was the producer of Drift?,142,0
cq,Who is the author of Detective?,139,0
cq,Who was the director of Gotti?,155,0
cq,In what city was Gregorio Selser born?,162,0
cq,Who was the producer of Come and Get It?,151,0
cq,Who is the author of Definitions?,164,0
cq,Who was the composer of Wish You Were Here?,146,0
cq,What genre is The Untold?,152,0
cq,Who was the producer of The Sweet Sins of Sexy Susan?,187,0
cq,Who was the composer of You Never Know?,144,0
cq,Who was the screenwriter for The Invisible Hand?,151,0
cq,Who was the screenwriter for P Se PM Tak?,201,0
cq,Who is the author of Bec?,142,0
cq,What sport does Najeh Humoud play?,160,0
cq,What is Windsor the capital of?,134,0
cq,What genre is Hands Across the Sea?,145,0
cq,Who was the producer of Dil?,180,0
cq,Who is the father of Ragnall mac Gofraid?,180,0
cq,In what city was Jaime de Angulo born?,152,0
cq,What is Preston the capital of?,164,0
cq,Who is the author of What Remains?,144,0
cq,Who was the director of Porky's Duck Hunt?,153,0
cq,Who was the producer of M?,161,0
cq,Who is the father of Goi?,183,0
cq,What is Paddy Mullins's occupation?,163,0
cq,What sport does Elias MacDonald play?,153,0
cq,What is Delhi the capital of?,132,0
cq,Who was the producer of Long Pants?,162,0
cq,In what country is Davidson?,170,0
cq,Who was the producer of The Robe?,161,0
cq,Who is the father of Mary of Woodstock?,165,0
cq,Who is the mother of Hou Ji?,140,0
cq,What sport does Daniel Manzato play?,164,0
cq,In what city was Robert Creamer born?,175,0
cq,Who was the screenwriter for Where No One Has Gone Before?,160,0
cq,What is Sardar Muhammad Yousaf Zaman's occupation?,172,0
cq,Who was the director of Legend?,170,0
cq,Who was the screenwriter for Computer Warriors?,164,0
cq,Who was the screenwriter for Il Boss?,167,0
cq,Who was the composer of The Best Offer?,170,0
cq,Who is the author of Chosen?,155,0
cq,Who is the father of Seol Chong?,172,0
cq,What is the capital of Egypt Eyalet?,156,0
cq,In what city was Manon born?,161,0
cq,What genre is The Art of the Steal?,161,0
cq,Who was the screenwriter for Pip?,147,0
cq,Who is the father of Rafi-ush-Shan?,194,0
cq,What is Thomas Widdrington's occupation?,185,0
cq,In what city was Mark Holzemer born?,164,0
cq,What is the religion of Appalachian Bible College?,152,0
cq,What is Gina Krog's occupation?,174,0
cq,Who is the author of The Interruption of Everything?,157,0
cq,Who is the author of The New Troy?,158,0
cq,Who was the director of Guess Who?,146,0
cq,Who is the author of The Prodigal Son?,180,0
cq,"Who was the composer of Robinson Crusoe, Jr.?",165,0
cq,Who was the director of Crave?,155,0
cq,Who was the producer of Amy's Baking Company?,156,0
cq,Who was the producer of Swingers?,153,0
cq,What sport does Thiago Quirino play?,167,0
cq,What is John Jay's occupation?,157,0
cq,What is the religion of Ohio Northern University?,155,0
cq,Who was the screenwriter for Human Resources?,160,0
cq,Who was the producer of Perfect Day?,140,0
cq,Who was the director of Bread and Circuses?,161,0
cq,What is the capital of Northumberland County?,167,0
cq,Who was the director of The Emerald City?,156,0
cq,What is the capital of Lys?,163,0
cq,Who was the director of The Empath?,145,0
cq,What is the capital of Goondiwindi Region?,175,0
cq,Who was the composer of The Sanguine Fan?,154,0
cq,Who was the screenwriter for Neighbors?,171,0
cq,In what city was James W. Owens born?,162,0
cq,Who was the composer of Ninnindale?,162,0
cq,In what city was Alfred Jefferis Turner born?,175,0
cq,What is the religion of Father Jean Bernard?,148,0
cq,Who was the screenwriter for The Rubber Gun?,146,0
cq,What is the religion of Kenneth Steiner?,153,0
cq,Who was the producer of Don't Ever Leave Me?,164,0
cq,Who was the screenwriter for La Collectionneuse?,177,0
cq,What genre is No Doubt?,150,0
cq,Who was the producer of The Turning Point?,145,0
cq,Who is the author of Close to Home?,144,0
cq,What genre is SimTower?,138,0
cq,Who was the director of The Closet?,164,0
cq,In what city was Billy McGinty born?,183,0
cq,Who was the producer of Rehab?,159,0
cq,Who was the director of Little 'Tinker?,158,0
cq,Who was the composer of Mela?,170,0
cq,Who was the screenwriter for Being Human?,159,0
cq,Who was the producer of The Search?,161,0
cq,Who was the composer of Annakili?,166,0
cq,Who is the father of Pierre Joxe?,162,0
cq,Who is the author of The Story of the Daughters of Quchan?,155,0
cq,Who was the producer of Jeans?,148,0
cq,Who was the producer of Arthur 2: On the Rocks?,160,0
cq,Who was the producer of Parker?,143,0
cq,Who is the father of Abbot Oliba?,175,0
cq,Who was the screenwriter for Mantra?,163,0
cq,Who is the mother of Lincoln Stedman?,173,0
cq,What genre is Roper?,154,0
cq,What genre is Artur Lemba?,168,0
cq,Who is the father of Shi Jian?,155,0
cq,Who was the producer of Let America Laugh?,152,0
cq,Who was the producer of Kites?,166,0
cq,Who was the director of The Crocodile's Dilemma?,170,0
cq,Who was the composer of Do It Again?,164,0
cq,What is the religion of Robert J. Fox?,152,0
cq,Who is the father of Mary of Waltham?,153,0
cq,Who is the father of Gao Wei?,161,0
cq,Who was the producer of RV?,164,0
cq,Who was the producer of The Holy Girl?,186,0
cq,Who was the composer of 1984?,167,0
cq,Who was the producer of The Economics of Happiness?,136,0
cq,What is the religion of Francesco Bonifacio?,143,0
cq,Who is the father of Bridget Bendish?,186,0
cq,In what country is Ig?,188,0
cq,Who was the producer of The Best Man?,159,0
cq,Who is the author of The Origins and History of Consciousness?,160,0
cq,In what city was Herman Hertzberger born?,176,0
cq,Who was the composer of WarGames?,167,0
cq,What is the religion of James VI and I?,155,0
cq,Who was the screenwriter for A Personal Journey with Martin Scorsese Through American Movies?,153,0
cq,Who is the author of The Gathering?,148,0
cq,In what city was Doc Parker born?,169,0
cq,Who is the author of The Bishop's Heir?,164,0
cq,What is Philadelphia the capital of?,136,0
cq,Who was the composer of Trans?,147,0
cq,Who is the author of Solar?,158,0
cq,In what city was Dick Calmus born?,153,0
cq,Who is the author of Hard Time?,159,0
cq,Who was the producer of The Wild Life?,150,0
cq,Who was the screenwriter for Drive?,148,0
cq,Who was the producer of South of Heaven?,144,0
cq,Who was the director of The Ragman's Daughter?,158,0
cq,Who was the screenwriter for Nowhere?,150,0
cq,Who was the director of Submission?,149,0
cq,Who is the mother of Dan?,161,0
cq,Who was the screenwriter for The Myth of Fingerprints?,162,0
cq,Who was the screenwriter for The Betrayal?,148,0
cq,In what city was Joel Johnson born?,154,0
cq,Who was the producer of This Island Earth?,164,0
cq,Who was the composer of Julie Johnson?,150,0
cq,Who was the composer of The Fog of War?,140,0
cq,"Who is the father of Archduke Leopold of Austria, Prince of Tuscany?",184,0
cq,Who was the producer of High Risk?,156,0
cq,Who was the screenwriter for Coralie Lansdowne Says No?,146,0
cq,Who was the director of Backstage?,146,0
cq,Who is the author of Finder?,148,0
cq,In what city was Shawn Respert born?,147,0
cq,Who was the producer of Peter Gabriel?,135,0
cq,In what city was Lance Hooper born?,151,0
cq,In what city was Ralph Campney born?,170,0
cq,Who was the director of Winner Takes All?,165,0
cq,Who was the producer of Dawn?,153,0
cq,What genre is Kanoon?,196,0
cq,Who is the author of Free to Choose?,143,0
cq,What is Prague the capital of?,139,0
cq,What is Barcelona the capital of?,153,0
cq,What is the capital of Loir-et-Cher?,173,0
cq,In what city was Offer Nissim born?,218,0
cq,What is the capital of Guyana?,157,0
cq,Who is the father of Chimera?,171,0
cq,What is the capital of Vimmerby Municipality?,158,0
cq,Who is the author of Superman & Batman: Generations?,151,0
cq,Who is the author of The Mysterious Mr Quin?,154,0
cq,What is the capital of Nebraska?,144,0
cq,Who is the author of Elements?,152,0
cq,Who is the father of Sally Aw?,156,0
cq,What is Algiers the capital of?,167,0
cq,What genre is Martin Garrix?,159,0
cq,Who was the screenwriter for Man of La Mancha?,184,0
cq,Who was the screenwriter for Boudu Saved from Drowning?,178,0
cq,Who is the author of The Prince?,134,0
cq,In what country is Spumoni Gardens?,170,0
cq,What sport does 1973 Virginia Slims of Fort Lauderdale play?,160,0
