question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who is the author of The Mysterious Mr Quin?,"[""Agatha Christie"", ""Agatha Mary Clarissa Christie"", ""Agatha Mary Clarissa Miller"", ""Mary Westmacott"", ""Agatha Mary Clarissa Mallowan""]",author,K+,True,Agatha Christie,4978179,The Mysterious Mr Quin,The Mysterious Mr Quin,Agatha Christie,C+,"he has a helper – the mysterious Mr Quin – the man who appears from nowhere – who 'comes and goes' like the invisible Harlequin of old. Who is Mr Quin? No one knows, but he is one who 'speaks for the dead who cannot speak for themselves', and he is also a friend to lovers. Prompted by his mystic influence, Mr Satterthwaite plays a real part in life at last, and unravels mysteries that seem incapable of solution. In Mr Quin, Agatha Christie has created a character as fascinating as Hercule Poirot himself. The Mysterious Mr Quin The Mysterious",Agatha Christie,428,443,
What is the capital of Nebraska?,"[""Lincoln"", ""Lincoln, Nebraska""]",capital,K+,True,Lincoln.,232830,"Lincoln, Nebraska",Nebraska,Lincoln,C+,"the village of Lancaster on the wild salt marshes of what was to become Lancaster County. In 1867, the village of Lancaster became Nebraska's state capital and was renamed Lincoln. The Bertram G. Goodhue designed state capitol building was completed in 1932 and is the second tallest capitol in the United States. As the city is the seat of government for the state of Nebraska, the state and the United States government are major employers. The University of Nebraska was founded in Lincoln in 1867. The university is the largest in Nebraska with 26,079 students enrolled and is the city's",Lincoln,172,179,
Who is the author of Elements?,"[""Euclid"", ""Euclides"", ""Euclid of Alexandria""]",author,K+,True,Euclid,119760,Euclid,Euclid's Elements,Euclid,C+,"only reference that historians rely on of Euclid having written the """"Elements"""" was from Proclus, who briefly in his """"Commentary on the Elements"""" ascribes Euclid as its author. Although best known for its geometric results, the """"Elements"""" also includes number theory. It considers the connection between perfect numbers and Mersenne primes (known as the Euclid–Euler theorem), the infinitude of prime numbers, Euclid's lemma on factorization (which leads to the fundamental theorem of arithmetic on uniqueness of prime factorizations), and the Euclidean algorithm for finding the greatest common divisor of two numbers. The geometrical system described in the """"Elements"""" was long",Euclid,42,48,
Who is the father of Sally Aw?,"[""Aw Boon Haw"", ""Aw Boon-Haw""]",father,K+,True,Sally Aw Sian Ngoh's father is Aw Boon Haw.,14163994,Sally Aw,Sally Aw,Aw Boon Haw,C+,"Sally Aw Aw Sian also known as Sally Aw, , is a Hong Kong businesswoman and adopted daughter of the Burmese-Hakka Chinese entrepreneur and newspaper proprietor Aw Boon-haw. Sally Aw was nicknamed """"Tiger Balm Lady"""" as well as """"Chinese Howard Hughes"""". In 1931, Aw Boon-haw and the second of his four wives adopted the five-year-old daughter of a distant relative from Burma, changing the girl's name from She Moi to Sian. Aw Boon-haw's third son Aw Hoe () was killed in a plane crash in 1951 and after his own death in 1954, Aw Sian, then 23, inherited the newspaper",Aw Boon Haw,160,171,
What is Algiers the capital of?,"[""Algeria"", ""Alger"", ""Algérie"", ""Al-Jaza'ir"", ""Algerie"", ""Algeria"", ""People’s Democratic Republic of Algeria"", ""dz"", ""🇩🇿"", ""ALG""]",capital of,K+,True,Algeria.,10984711,Algiers Metro,Algiers,Algeria,C+,"Algiers Metro The Algiers Metro (, ), serving Algiers, the capital of Algeria, is a rapid transit system dating from the 1970s that was designed to address the need for mass transport caused by the city's growth. Formally launched in the 1980s, the project slowed down due to financial difficulties and security issues in the 1990s. The project recommenced in 2003. Algerian President Abdelaziz Bouteflika attended the Metro's 31 October 2011 ribbon-cutting opening ceremony. The Algiers Metro then opened to passengers on the following day, 1 November 2011, making Algiers only the second capital city in Africa (after Cairo) to",Algeria,70,77,
What genre is Martin Garrix?,"[""electronic dance music"", ""EDM"", ""club music"", ""dance music"", ""dance""]",genre,K+,True,Electronic Dance Music (EDM),20734569,Ocean (Martin Garrix song),Martin Garrix,electronic dance music,C+,"to his own"""", thus missing out on most of Garrix's signature musical style. Dancing Astronaut's Chris Stack wrote that the pair delivered a """"laid back pop track blending electronic tropes with elements of rock and R&B into a soothing soundscape polished by calming harmonies"""", while noting the successful continuation of Khalid's """"foray into EDM"""". Credits adapted from Tidal. Ocean (Martin Garrix song) """"Ocean"""" is a song by Dutch music producer and DJ Martin Garrix, featuring guest vocals by American singer and songwriter Khalid. Written by Khalid, Dewain Whitmore Jr., Ilsey Juber and its producers Garrix and Giorgio Tuinfort, it was",electronic dance music,345,348,
Who was the screenwriter for Man of La Mancha?,"[""Dale Wasserman""]",screenwriter,K+,True,Joe Darion and Dale Wasserman,1508618,Man of La Mancha,Man of La Mancha (film),Dale Wasserman,C+,"French (translation by Jacques Brel), German, Hebrew, Irish, Japanese, Korean, Icelandic, Bengali, Gujarati, Uzbek, Bulgarian, Hungarian, Serbian, Slovenian, Swahili, Finnish, Ukrainian and nine distinctly different dialects of the Spanish language. """"Man of La Mancha"""" was first performed at the Goodspeed Opera House in East Haddam, Connecticut in 1965 and had its New York premiere on the thrust stage of the ANTA Washington Square Theatre in 1965. """"Man of La Mancha"""" started as a non-musical teleplay written by Dale Wasserman for CBS's """"DuPont Show of the Month"""" program. This original telecast starred Lee J. Cobb, Colleen Dewhurst (who replaced Viveca Lindfors),",Dale Wasserman,519,533,
Who was the screenwriter for Boudu Saved from Drowning?,"[""Jean Renoir""]",screenwriter,K+,True,The screenwriter for Boudu Saved from Drowning was Jean Renoir.,5987260,Boudu Saved from Drowning,Boudu Saved from Drowning,Jean Renoir,C+,"Boudu Saved from Drowning Boudu Saved from Drowning (, """"Boudu saved from the waters"""") is a 1932 French social satire comedy of manners film directed by Jean Renoir. Renoir wrote the film's screenplay, from the play by René Fauchois. The film stars Michel Simon as Boudu. Pauline Kael called it, """"not only a lovely fable about a bourgeois attempt to reform an early hippy... but a photographic record of an earlier France."""" Bourgeois Parisian, Latin Quarter bookseller, Edouard Lestingois, (Charles Granval), rescues a tramp, Boudu, from a suicidal plunge into the River Seine, from the Pont des Arts. Boudu is",Jean Renoir,154,165,
Who is the author of The Prince?,"[""Niccolò Machiavelli"", ""Nicolo Machiavelli"", ""Niccolo Machiavelli"", ""Niccolò di Bernardo dei Machiavelli"", ""Nicolò Machiavelli"", ""N. Machiavelli"", ""Niccolo di Bernardo dei Machiavelli"", ""Machiavelli""]",author,K+,True,Niccolò Machiavelli,977118,The Prince,The Prince,Niccolò Machiavelli,C+,"either """"liberty"""" or """"license"""". A principality is put into place either by the """"great"""" or the """"people"""" when they have the opportunity to take power, but find resistance from the other side. They assign a leader who can be popular to the people while the great benefit, or a strong authority defending the people against the great. Machiavelli goes on to say that a prince who obtains power through the support of the nobles has a harder time staying in power than someone who is chosen by the common people; since the former finds himself surrounded by people who consider",Niccolò Machiavelli,338,349,
In what country is Spumoni Gardens?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country,K+,True,"United States (specifically, Brooklyn, New York)",15471529,L&B Spumoni Gardens,L&B Spumoni Gardens,United States of America,C+,"L&B Spumoni Gardens L&B Spumoni Gardens is a pizzeria-restaurant located in the Brooklyn neighborhood of Gravesend. Originally conceived as an ice and spumoni stand prior to World War II, it grew during the mid-1950s into a full-scale pizzeria that's known today primarily for its Sicilian pizza and ices. The restaurant has been featured on the show Man v. Food. NY Eater critic Robert Sietsema considers L&B Spumoni Gardens a must-try Italian American restaurant in Brooklyn. Founder Ludovico Barbati came to the United States in 1917 from Torella dei Lombardi, Italy. In 1938, Barbati sold pizza from a horse and wagon.",United States of America,511,528,
What sport does 1973 Virginia Slims of Fort Lauderdale play?,"[""tennis"", ""lawn tennis"", ""lawntennis""]",sport,K+,True,Tennis,3579406,Virginia Slims,1973 Virginia Slims of Fort Lauderdale,tennis,C+,"boost its numbers from nine to forty members, which helped pave the way for the first full year season of the Circuit in 1971. Subsequently, in the aftermath of the creation of the Women's Tennis Association in 1973, the Virginia Slims Circuit would eventually absorb the ILTF's Women's Grand Prix circuit and become the WTA Tour. Virginia Slims also briefly sponsored the Virginia Slims of Richmond, a now defunct WTA Tour affiliated women's tennis tournament held in 1970 and from 1972 to 1973. It was held in Richmond, Virginia in the United States and played on indoor carpet courts. """"You've",tennis,189,195,
Who is the author of The Trumpet-Major?,"[""Thomas Hardy""]",author,K+,True,Thomas Hardy,3881624,The Trumpet-Major,The Trumpet-Major,Thomas Hardy,C+,"to that end, he conducted research at the British Museum and consulted various periodicals and newspaper accounts of the time. Richard H. Taylor has noted the accuracy of Hardy's details in the novel. Thomas Hardy's novel provided the source of Alun Hoddinott's opera """"The Trumpet Major"""", with libretto by Myfanwy Piper, first performed in Manchester on 1 April 1981. The Trumpet-Major The Trumpet-Major is a novel by Thomas Hardy published in 1880, and his only historical novel. It concerns the heroine, Anne Garland, being pursued by three suitors: John Loveday, the eponymous trumpet major in a British regiment, honest and",Thomas Hardy,201,213,
Who is the father of Louis X of France?,"[""Philip IV of France"", ""the Fair"", ""King of France Philip IV"", ""roi de France Philippe IV"", ""Philippe le Bel"", ""der Schöne Philipp"", ""le Bel, re di Francia Philippe IV"", ""Philippe le Roi de fer"", ""le Bel, King of France Philippe IV"", ""the Fair Philip"", ""Philip IV""]",father,K+,True,Philip IV of France,836559,Louis X of France,Louis X of France,Philip IV of France,C+,"Louis X of France Louis X (4 October 1289 – 5 June 1316), called the Quarreler, the Headstrong, or the Stubborn (), was King of France from 1314 until his death (the twelfth from the House of Capet), succeeding his father Philip IV. After the death of his mother, Joan I of Navarre, he was also King of Navarre as Louis I () from 1305 until his death in 1316. His short reign in France was marked by tensions with the nobility, due to fiscal and centralization reforms initiated by Enguerrand de Marigny, the Grand Chamberlain of France, under the",Philip IV of France,222,231,
In what country is KV Svalbard?,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""no"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]",country,K+,True,Norway,382404,Svalbard,NoCGV Svalbard,Norway,C+,"by the Roman Catholic Diocese of Oslo. The Svalbard Treaty of 1920 established full Norwegian sovereignty over the archipelago. The islands are, unlike the Norwegian Antarctic Territory, a part of the Kingdom of Norway and not a dependency. The treaty came into effect in 1925, following the Svalbard Act. All forty signatory countries of the treaty have the right to conduct commercial activities on the archipelago without discrimination, although all activity is subject to Norwegian legislation. The treaty limits Norway's right to collect taxes to that of financing services on Svalbard. Therefore, Svalbard has a lower income tax than mainland",Norway,201,218,
What is the capital of Guadeloupe?,"[""Basse-Terre""]",capital,K+,True,Basse-Terre.,5638024,Flag of Guadeloupe,Guadeloupe,Basse-Terre,C+,"Flag of Guadeloupe Guadeloupe, an overseas region and department of France located in the Caribbean, has no flag with official status other than the French national flag. In addition to the French flag, an inscribed regional logo on a white field is often used as regional flag, similar to the practice in Mayotte and Réunion. The logo of Guadeloupe shows a stylized sun and bird on a green and blue square with the subscript """"REGION GUADELOUPE"""" underlined in yellow. A locally used unofficial flag, based on the coat of arms of Guadeloupe's capital Basse-Terre has a black or red field",Basse-Terre,552,563,
Who was the screenwriter for Lars and the Real Girl?,"[""Nancy Oliver""]",screenwriter,K+,True,Nancy Oliver was the screenwriter for Lars and the Real Girl.,10717279,Lars and the Real Girl,Lars and the Real Girl,Nancy Oliver,C+,"funeral that is well-attended by the townspeople. After Bianca is buried in the local cemetery, Lars and Margo linger at the grave site. When Margo states that she should catch up with everyone else, Lars asks her to take a walk with him instead, to which she happily agrees. In """"The Real Story of Lars and the Real Girl"""", a special feature on the DVD release of the film, screenwriter Nancy Oliver reveals the inspiration for her script was an actual website, RealDoll.com, which is featured prominently in the film. While researching """"weird websites"""" for an article, Oliver found RealDoll.com.",Nancy Oliver,388,400,
What sport does 2010 Veikkausliiga play?,"[""association football"", ""football"", ""soccer""]",sport,K+,True,Association football (soccer),14005221,2010 Veikkausliiga,2010 Veikkausliiga,association football,C+,2010 Veikkausliiga The 2010 Veikkausliiga was the eightieth season of top-tier football in Finland. It began on 16 April 2010 and ended on 23 October 2010. RoPS finished at the bottom of the 2009 season and were relegated to Ykkönen. Their place was taken by Ykkönen champions AC Oulu. 13th-placed Veikkausliiga team JJK and Ykkönen runners-up KPV competed in a two-legged relegation play-offs for one spot in this season. JJK won 5–3 on aggregate and thereby retained their league position. The 13th placed team of 2010 Veikkausliiga and the runners-up of the 2010 Ykkönen will compete in a two-legged play-offs,association football,79,87,
In what city was Moses the Black born?,"[""Egypt"", ""Republic of Egypt"", ""eg"", ""EGY"", ""🇪🇬"", ""Arab Republic of Egypt"", ""Arab Rep. Egypt"", ""Rep. Egypt""]",place of birth,K+,True,"Scetis, Egypt.",2252995,Moses the Black,Moses the Black,Egypt,C+,"are found today at the Church of the Virgin Mary in the Paromeos Monastery. Moses the Black Saint Moses the Black (330–405), (also known as Abba Moses the Robber, and the Strong) was an ascetic monk and priest in Egypt in the fourth century AD, and a notable Desert Father. Moses was a black servant of a government official in Egypt who dismissed him for theft and suspected murder. A large, imposing figure, he became the leader of a gang of bandits who roamed the Nile Valley spreading terror and violence. On one occasion, a barking dog prevented Moses from",Egypt,213,218,
Who was the producer of Afghan Massacre: The Convoy of Death?,"[""Jamie Doran""]",producer,K+,True,The producer of Afghan Massacre: The Convoy of Death was Jamie Doran.,7318090,Afghan Massacre: The Convoy of Death,Afghan Massacre: The Convoy of Death,Jamie Doran,C+,"Afghan Massacre: The Convoy of Death Afghan Massacre: The Convoy of Death (earlier title: Massacre at Mazar) is a 2002 documentary by Irish filmmaker Jamie Doran and Afghan journalist Najibullah Quraishi about alleged war crimes committed by the Junbish-i Milli faction of the Afghan Northern Alliance under General Abdul Rashid Dostum against Taliban fighters. The Taliban fighters, who had surrendered to Dostum's troops after the November 2001 siege of Kunduz, were transported to Sheberghan prison in sealed containers. Human rights groups estimate that hundreds or thousands of them died during and after transit. """"Afghan Massacre: The Convoy of Death"""" presents",Jamie Doran,150,161,
In what city was Giuseppe Bezzuoli born?,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi""]",place of birth,K+,True,"Florence, Italy.",10768843,Giuseppe Bezzuoli,Giuseppe Bezzuoli,Florence,C+,"Clovis"""" and a """"Madonna"""" in fresco for the Pitti Palace. He painted two ceilings for the Borghese Palace at Rome representing """"Toilet of Venus,"""" and """"Venus carrying Ascanius"""". He died in Florence. Among his pupils at the Academy were Giovanni Fattori, Giuseppe Raggio, Enrico Pollastrini, Carlo Ademollo, Giuseppe Pierotti, Stefano Ussi, and Silvestro Lega. Giuseppe Bezzuoli Giuseppe Bezzuoli (28 November 1784 – 13 September 1855) was an Italian painter of the Neoclassic period, active in Milan, Rome, and his native city of Florence. He studied as a young man under Jean-Baptiste Desmarais at the Academy of Fine Arts of Florence,",Florence,193,201,
Who is the mother of Lulach?,"[""Gruoch of Scotland"", ""Gruoch mi Boedhe""]",mother,K+,True,Gruoch of Scotland,245011,Lulach,Lulach,Gruoch of Scotland,C+,"Lulach Lulach mac Gille Coemgáin (Modern Gaelic: """"Lughlagh mac Gille Chomghain"""", known in English simply as Lulach, and nicknamed Tairbith, """"the Unfortunate"""" and Fatuus, """"the Simple-minded"""" or """"the Foolish""""; before 1033 – 17 March 1058) was King of Scots between 15 August 1057 and 17 March 1058. Lulach was the son of Gruoch of Scotland, from her first marriage to Gille Coemgáin, Mormaer of Moray, and thus the stepson of Macbeth (Mac Bethad mac Findlaích). Following the death of Macbeth at the Battle of Lumphanan on 15 August 1057, the king's followers placed Lulach on the throne. He has the",Gruoch of Scotland,327,345,
What sport does Slower ball play?,"[""cricket""]",sport,K+,True,Cricket.,3932239,Slower ball,Slower ball,cricket,C+,"Slower ball In the sport of cricket, a slower ball is a slower-than-usual delivery from a fast bowler. The bowler's intention is to deceive the batsman into playing too early so that he either misses the ball completely or hits it high up in the air to offer an easy catch. It is analogous to a changeup in baseball. The slower ball technique was popularised in response to the demands of limited-overs cricket, not only to get wickets but also to slow down the scoring rate, as a slower ball will not carry to the boundary as easily as a",cricket,28,35,
What is the religion of Marjorie Cameron?,"[""Thelema""]",religion,K+,True,Theosophy and Thelema.,13498008,Marjorie Cameron,Marjorie Cameron,Thelema,C+,"Marjorie Cameron Marjorie Cameron Parsons Kimmel (April 23, 1922 – June 24, 1995), who professionally used the mononym Cameron, was an American artist, poet, actress, and occultist. A follower of Thelema, the new religious movement established by the English occultist Aleister Crowley, she was married to rocket pioneer and fellow Thelemite Jack Parsons. Born in Belle Plaine, Iowa, Cameron volunteered for services in the United States Navy during the Second World War, after which she settled in Pasadena, California. There she met Parsons, who believed her to be the """"elemental"""" woman that he had invoked in the early stages of",Thelema,196,203,
Who was the composer of Toy Story?,"[""Randy Newman"", ""Randall Stuart Newman"", ""Randall S. Newman""]",composer,K+,True,Randy Newman composed the music for Toy Story.,9593393,Toy Story Midway Mania!,Toy Story,Randy Newman,C+,"World both identified the attraction with the registered trademark """"Toy Story Midway Mania!"""" as of September 2014. As of June 2018, the attraction is known as """"Toy Story Mania!"""". Music for the queue area was arranged and recorded by Jennifer Hammond at Capitol Studios with a live orchestra. More than an hour of music was recorded, all based on the first two """"Toy Story"""" scores composed by Randy Newman. Disney Interactive Studios released a """"Toy Story Mania!"""" video game in September 2009 exclusively for the Nintendo Wii console. The game features gameplay and levels similar to those in the theme",Randy Newman,397,409,
In what city was Cornelis Springer born?,"[""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",place of birth,K+,True,Amsterdam.,16286831,Cornelis Springer,Cornelis Springer,Amsterdam,C+,"Cornelis Springer Cornelis Springer (1817, Amsterdam – 1891, Hilversum), was a Dutch 19th century landscape painter. He was a pupil of his father, the carpenter Willem Springer (1778–1857). He was a pupil of Hendrik Gerrit ten Cate, Kasparus Karsen, and Jacobus van der Stok. He became a member of the Amsterdam painters collective Felix Meritis and won a gold medal for a painting of a church interior in 1847. He is known for watercolors, etchings, and drawings, especially of city views and town scenes that he sketched while traveling around the country. He was awarded the Leopold order of Belgium",Amsterdam,43,52,
What genre is Ministry?,"[""industrial metal"", ""Industrial Metal""]",genre,K+,True,Industrial metal.,1693592,Ministry (band),Ministry (band),industrial metal,C+,"media reports noted that Jourgensen had reconnected with Barker after 15 years, hinting that the two might collaborate once again in the upcoming Ministry album. Ministry's experimentation, stylistic variation and changes during its career cross several genres of popular music. Alternative rock subgenres such as industrial rock and industrial metal are umbrella terms predominately used to describe the band's career in general. Ministry has been classified under many others genres, including EBM/industrial dance, techno-rock, hard rock, heavy metal, speed metal, thrash metal, and electro-industrial; their early output has been categorised as new wave, synth-pop, dance pop, electronic dance, and dark",industrial metal,334,350,
What genre is Joe Abercrombie?,"[""fantasy"", ""fantasy fiction""]",genre,K+,True,Joe Abercrombie's genre is typically classified as Grimdark Fantasy.,10413283,Joe Abercrombie,Joe Abercrombie,fantasy,C+,"Joe Abercrombie Joe Abercrombie is a British fantasy writer and film editor. He is the author of a trilogy called """"The First Law"""", other fantasy books in the same setting and a trilogy of Young Adult novels. His novel """"Half a King"""" won the 2015 Locus Award for best Young Adult book. Joe Abercrombie was born in Lancaster, Lancashire, England. He was educated at Lancaster Royal Grammar School and Manchester University, where he studied psychology. Abercrombie had a job making tea at a television production company before taking up a career as a freelance film editor. As a freelance film",fantasy,45,52,
